,,A_YYY,,,B_NYY,,,C_YNY,,,D_NNY,,,E_YYN,,,F_NYN,,,G_YNN,,,H_NNN,,
part number,Row Labels,Qty,,Price,Qty,,Price,Qty,,Price,Qty,,Price,Qty,,Price,Qty,,Price,Qty,,Price,Qty,,Price
,iPhone 6s Plus 128GB Verizon/Unlocked A1687,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 6s Plus 16GB Sprint A1634/A1687/A1699,,,,,,,,,,,,,,,,,,,,,,,,
,iPhone 6s Plus 16GB Verizon/Unlocked A1687,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 6s Plus 32GB Other A1634/A1687/A1699,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 6s Plus 32GB Sprint A1634/A1687,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 6s Plus 32GB Verizon/Unlocked A1687,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 6s Plus 64GB Sprint A1634/A1687/A1699,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 6s Plus 64GB Verizon/Unlocked A1687,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 128GB Sprint A1660/A1778/A1779,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 128GB Unlocked A1660/A1778,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 256GB Unlocked A1660/A1778,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 32GB Unlocked A1660/A1778,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 32GB Verizon A1660,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 Plus 128GB Other A1661/A1784/A1785,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 Plus 128GB Sprint A1661/A1784/A1785,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 Plus 128GB Unlocked A1661/A1784,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 Plus 256GB Other A1661/A1784/A1785,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 Plus 256GB Unlocked A1661/A1784,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 7 Plus 32GB Sprint A1661/A1784/A1785,,,,,,,,,,,,,,,,,,,,,,,,
,iPhone 7 Plus 32GB Unlocked A1661/A1784,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 256GB AT&T A1905,,,,,,,,,,,,,,,,,,,,,,,,
,iPhone 8 256GB Other A1863/A1905/A1906,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 256GB Unlocked A1863/A1905/A1906,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 64GB Other A1863/A1905/A1906,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 64GB T-Mobile A1905,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 64GB Unlocked A1863/A1905/A1906,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 Plus 256GB Unlocked A1864/A1897/A1898,,,,,,,,,,,,,,,,,,,,,,,,
,iPhone 8 Plus 64GB AT&T A1897,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 Plus 64GB Other A1864/A1897/A1898,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 Plus 64GB Sprint A1864,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone 8 Plus 64GB Unlocked A1864/A1897/A1898,,,,,,,1,,,,,,,,,,,,,,,,,
,iPhone X 256GB Unlocked A1865/A1901/A1902,,,,,,,,,,,,,,,,,,,,,,,,
,iPhone X 64GB Unlocked A1865/A1901/A1902,,,,,,,,,,,,,,,,,,,,,,,,
,iPhone X 64GB Verizon A1865,,,,,,,,,,,,,,,,,,,,,,,,